ID,Name,Name_EN,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
AIRMASS,Masa de aire,Air Mass,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",Air Mass according to Perez et al. 1990.,"Optical Air Mass,Relative Air Mass,Atmospheric Path Length","Optical Air Mass,Relative Air Mass,Atmospheric Path Length",
AIRMASS_HR,Masa de aire (conjunto de parámetros basado en horas),Air Mass (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_KT,Índice de claridad de la insolación con cielo total,All Sky Insolation Clearness Index,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",A fraction representing clearness of the atmosphere; the all sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,Clearness Index (Kt),"Clearness Index (Kt),Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_KT_MAX,Índice de claridad de la insolación con cielo total máximo,All Sky Insolation Clearness Index Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum clearness of the atmosphere; the all sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,,,
ALLSKY_KT_MIN,Índice de claridad de la insolación con cielo total mínimo,All Sky Insolation Clearness Index Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum clearness of the atmosphere; the all sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,,,
ALLSKY_KT_SD,Índice de claridad de la insolación con cielo total desviación estándar,All Sky Insolation Clearness Index Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of the clearness atmosphere; the all sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,,,
ALLSKY_NKT,Índice de claridad de la insolación normalizado con cielo total,All Sky Normalized Insolation Clearness Index,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The average zenith angle-independent expression of the all sky insolation clearness index.,"Normalized Clearness Index (Kn),Zenith-Independent Clearness Index","Normalized Clearness Index (Kn),Zenith-Independent Clearness Index",
ALLSKY_SFC_LW_DWN,Irradiancia descendente de onda larga en superficie con cielo total,All Sky Surface Longwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The downward thermal infrared irradiance under all sky conditions reaching a horizontal plane at the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from the Sky.,"Downwelling Longwave Radiation (DLR),Thermal Infrared Downwelling,Downward Terrestrial Radiation","Downwelling Longwave Radiation (DLR),Thermal Infrared Downwelling,Downward Terrestrial Radiation,Temperature/Thermal IR Flux,Solar Fluxes and Related",
ALLSKY_SFC_LW_DWN_HR,Irradiancia descendente de onda larga en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Longwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_LW_DWN_MAX,Irradiancia descendente de onda larga en superficie con cielo total máximo,All Sky Surface Longwave Downward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum downward thermal infrared irradiance under all sky conditions reaching a horizontal plane at the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from the Sky.,,,
