ID,Name,Tags,Services,Availability,Description,Keywords,Warnings_API_Original
numeroExpediente,Expediente,"official,aresep,historico_hidrocarburos,string",api,historico,Número de expediente del tarifario,"Expediente,numeroExpediente",
numeroResolucion,Número resolución,"official,aresep,historico_hidrocarburos,string",api,historico,Número de resolución del estudio tarifario,"Número resolución,numeroResolucion",
fechaPublicacion,Fecha Publicación,"official,aresep,historico_hidrocarburos,date",api,historico,Fecha de publicación del estudio tarifario en La Gaceta,"Fecha Publicación,fechaPublicacion",Formato sugerido: {0:dd/MM/yyyy}
alcanceGaceta,Alcance Gaceta,"official,aresep,historico_hidrocarburos,string",api,historico,Número de alcance de La Gaceta donde se publico el estudio tarifario,"Alcance Gaceta,alcanceGaceta",
numeroGaceta,Gaceta,"official,aresep,historico_hidrocarburos,number",api,historico,Número de Gaceta donde se publico el estudio tarifario,"Gaceta,numeroGaceta",Formato sugerido: {0:0}
producto,Producto,"official,aresep,historico_hidrocarburos,string",api,historico,Tipos de productos que se fijan su precio por la ARESEP,"Producto,producto",
tipoCambio,Tipo de Cambio,"official,aresep,historico_hidrocarburos,number",api,historico,Tipo de cambio colones por dólar,"Tipo de Cambio,tipoCambio",Formato sugerido: {0:n}
precioReferenciaInternacional,Precio Referencia Internacional,"official,aresep,historico_hidrocarburos,number",api,historico,Precio de referencia FOB internacional de la variable productos,"Precio Referencia Internacional,precioReferenciaInternacional",Formato sugerido: {0:n}
precioColonizado,Precio Referencia Internacional en colones,"official,aresep,historico_hidrocarburos,number",api,historico,Precio colonizado de PREC_INTERN $/bbl según variable de tipo de cambio,"Precio Referencia Internacional en colones,precioColonizado",Formato sugerido: {0:n}
costoAdquisicionDolar,Costo adquisión dólar por barril,"official,aresep,historico_hidrocarburos,number",api,historico,Costo de adquisición del combustible importado en dólar estadounidense por barril,"Costo adquisión dólar por barril,costoAdquisicionDolar",Formato sugerido: {0:n}
costoAdquisicionColones,Costo adquisión en colones por litro,"official,aresep,historico_hidrocarburos,number",api,historico,Costo de adquisición del combustible importado en colones por barril,"Costo adquisión en colones por litro,costoAdquisicionColones",Formato sugerido: {0:n}
otrosIngresosProrrateados,Otros Ingresos Prorrateados,"official,aresep,historico_hidrocarburos,number",api,historico,Otros Ingresos Prorrateados,"Otros Ingresos Prorrateados,otrosIngresosProrrateados",Formato sugerido: {0:n}
asigCruzPesc,Asignación Subsidio Pescadores,"official,aresep,historico_hidrocarburos,number",api,historico,Monto correspondiente por concepto de asignación del subsidio a pescadores,"Asignación Subsidio Pescadores,asigCruzPesc",Formato sugerido: {0:n}
asigCruzMinae,Asignación subsidio Política Sectorial,"official,aresep,historico_hidrocarburos,number",api,historico,Asignación subsidio Política Sectorial,"Asignación subsidio Política Sectorial,asigCruzMinae",Formato sugerido: {0:n}
asigPolGob,Asignación subsidio Políticas del Gobierno,"official,aresep,historico_hidrocarburos,number",api,historico,Asignación políticas de Gobierno,"Asignación subsidio Políticas del Gobierno,asigPolGob",Formato sugerido: {0:n}
