anio,mes,trimestre,nombre_empresa,tarifa_electricidad,empresa_mes_tarifa_consumo_energia_kwh_total
2027,1,1,ICE,RESIDENCIAL,1233784.0799000005
2027,2,1,ICE,RESIDENCIAL,1233305.9269000005
2027,3,1,ICE,RESIDENCIAL,1232755.2320000005
2027,4,2,ICE,RESIDENCIAL,1232216.4668000003
2027,5,2,ICE,RESIDENCIAL,1233862.4409000003
2027,6,2,ICE,RESIDENCIAL,1234037.1903000004
2027,7,3,ICE,RESIDENCIAL,1234447.3261000004
2027,8,3,ICE,RESIDENCIAL,1234476.3543000005
2027,9,3,ICE,RESIDENCIAL,1234159.6911000006
2027,10,4,ICE,RESIDENCIAL,1234970.7791000004
2027,11,4,ICE,RESIDENCIAL,1235377.5440000002
2027,12,4,ICE,RESIDENCIAL,1235377.5440000002
