anio,mes,trimestre,nombre_empresa,tarifa_electricidad,empresa_mes_tarifa_consumo_energia_kwh_total
2027,1,1,ICE,RESIDENCIAL,-26750.641737520695
2027,2,1,ICE,RESIDENCIAL,8966.880972206593
2027,3,1,ICE,RESIDENCIAL,44684.403681874275
2027,4,2,ICE,RESIDENCIAL,46073.047903478146
2027,5,2,ICE,RESIDENCIAL,81790.57061314583
2027,6,2,ICE,RESIDENCIAL,117508.09332287312
2027,7,3,ICE,RESIDENCIAL,118896.73754453659
2027,8,3,ICE,RESIDENCIAL,154614.26025420427
2027,9,3,ICE,RESIDENCIAL,190331.78296387196
2027,10,4,ICE,RESIDENCIAL,191720.42718559504
2027,11,4,ICE,RESIDENCIAL,227437.94989526272
2027,12,4,ICE,RESIDENCIAL,263155.4726049304
