anio,mes,trimestre,nombre_empresa,provincia,canton,distrito,coordenada_x,coordenada_y,empresa_mes_tarifa_crc_promedio
2027,1,1,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,5055.288803172065
2027,2,1,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,5085.064558940008
2027,3,1,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,5114.840314708068
2027,4,2,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,5967.009137627436
2027,5,2,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,5996.784893395496
2027,6,2,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,6026.560649163439
2027,7,3,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,6878.72947208304
2027,8,3,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,6908.505227851099
2027,9,3,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,6938.280983619043
2027,10,4,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,7790.449806538527
2027,11,4,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,7820.22556230647
2027,12,4,ICE,CARTAGO,CARTAGO,ORIENTAL,-83.9194,9.8644,7850.00131807453
