Mes,Año,Empresa,Tarifa,Abonados,Ventas,Ingreso sin CVG,Ingreso con CVG,Precio Medio sin CVG,Precio Medio con CVG,Trimestre,Sistema,Trimestral,T2M,WS10M,CLOUD_AMT,RH2M,T2M_MAX,T2M_MIN,CLOUD_OD,GWETROOT,TS,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,T2MWET,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_LW_DWN
1,2020,CNFL,ALUMBRADO PÚBLICO,,7266208.520000,453312649.810000,453312649.810000,62.390000,62.390000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,COMERCIOS Y SERVICIOS,70483.000000,89134544.300000,10717275806.000000,10821790255.000000,120.240000,121.410000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,INDUSTRIAL,1444.000000,4988929.000000,670979780.000000,677790850.000000,134.490000,135.860000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,MEDIA TENSIÓN A,281.000000,39224584.000000,3589794220.000000,3646850355.000000,91.520000,92.970000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,MEDIA TENSIÓN B,13.000000,15987562.000000,1058734310.000000,1075560830.000000,66.220000,67.270000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,PREFERENCIAL,2807.000000,8590787.000000,603039930.000000,609573215.000000,70.200000,70.960000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,PROMOCIONAL,42.000000,1128649.000000,110907325.000000,112668050.000000,98.270000,99.830000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,RESIDENCIAL,495170.000000,114114275.000000,10248204795.000000,10355066425.000000,89.810000,90.740000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,RESIDENCIAL HORARIA,7084.000000,3400765.000000,303828195.000000,307116185.000000,89.340000,90.310000,I Trimestre,Distribucion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
1,2020,CNFL,VENTAS A ICE DISTRIBUCIÓN Y A LA CNFL,,288432864.000000,15195890362.670000,15639774288.050000,52.680000,54.220000,I Trimestre,Generacion,2020 1,23.4777777777777778,2.2177777777777778,49.7022222222222222,83.2344444444444444,29.4355555555555556,19.1733333333333333,4.2466666666666667,0.68444444444444444444,23.9211111111111111,1.9455555555555556,5.0873111111111111,94.7022222222222222,21.8777777777777778,1.7434444444444444,9.6220111111111111
