id_Objecto,centralElectrica,operador,Empresa,coordenadaX,coordenadaY,Año,Mes,T2M,WS10M,CLOUD_AMT,RH2M,T2M_MAX,T2M_MIN,CLOUD_OD,GWETROOT,TS,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,T2MWET,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_LW_DWN
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,1,26.51,2.03,46.84,80.01,30.41,23.73,3.65,0.84,27.07,3.82,5.3734,98.09,24.58,1.7458,9.6302
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,2,27.1,1.81,28.0,73.25,30.97,23.07,3.23,0.72,27.68,0.73,6.5249,98.07,24.4,1.6282,9.5568
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,3,27.77,2.05,17.15,65.32,31.87,23.77,3.97,0.53,29.12,0.58,7.139,98.15,24.05,1.5648,9.4214
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,4,27.34,2.33,63.04,76.7,32.21,24.45,4.11,0.59,28.87,9.49,5.9299,98.12,24.98,2.417,9.8734
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,5,26.85,2.47,87.34,84.1,30.46,24.12,7.51,0.75,27.89,9.3,4.5125,98.08,25.35,2.3767,9.9634
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,6,26.13,3.05,89.87,87.13,29.13,23.96,7.72,0.94,27.02,18.39,4.5127,98.1,24.95,2.4434,9.8489
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,7,25.86,2.75,83.29,86.13,29.02,23.38,6.45,0.96,26.8,13.06,4.8504,98.09,24.57,2.551,9.8232
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,8,25.95,3.4,85.21,87.84,29.04,23.17,8.45,0.98,26.82,16.66,4.5938,98.07,24.83,2.3969,9.865
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,9,25.53,3.17,83.83,88.44,28.27,23.68,6.64,0.99,26.36,15.37,5.0777,98.09,24.48,2.4166,9.8136
1,PIRRÍS,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,-84.19822021189816,9.631496798863663,2020,10,25.46,3.2,84.82,88.49,28.98,23.64,7.26,0.99,26.24,15.08,4.5151,98.03,24.42,2.2217,9.7913
