Empresa,Año,Mes,T2M,WS10M,CLOUD_AMT,RH2M,T2M_MAX,T2M_MIN,CLOUD_OD,GWETROOT,TS,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,T2MWET,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_LW_DWN
CNFL,2020,1,22.91,1.74,53.11000000000001,84.03,28.81,18.68,4.33,0.6999999999999998,23.39,2.23,4.957466666666667,93.77,21.399999999999995,1.7592333333333334,9.609266666666667
CNFL,2020,2,23.459999999999997,1.96,36.46333333333333,77.96,30.05,17.59,3.956666666666667,0.59,24.09,0.57,6.045133333333333,93.76,21.26,1.7210666666666665,9.557033333333335
CNFL,2020,3,24.72,1.75,26.83,65.86,32.62,18.39,4.333333333333333,0.45,26.27,0.38000000000000006,6.738533333333334,93.82,20.95,1.7035333333333333,9.4478
CNFL,2020,4,24.89,1.21,63.16,73.88,33.65,18.0,4.513333333333334,0.47,26.149999999999995,5.86,5.733266666666666,93.78000000000002,22.070000000000004,2.3604666666666665,9.8521
CNFL,2020,5,24.48,1.05,87.37,84.14,31.25,19.69,7.206666666666666,0.55,25.16,8.31,4.499300000000001,93.75,22.899999999999995,2.4121333333333332,9.898333333333333
CNFL,2020,6,23.459999999999997,1.09,90.15333333333335,89.86,29.149999999999995,19.31,7.3999999999999995,0.79,23.94,13.57,4.422933333333333,93.75,22.51,2.4679,9.778666666666666
CNFL,2020,7,23.19,1.01,82.93666666666667,88.09999999999998,28.83,17.66,6.473333333333334,0.85,23.69,8.82,4.700166666666667,93.71999999999998,22.070000000000004,2.5353,9.723133333333333
CNFL,2020,8,23.3,1.08,83.63333333333333,90.21,29.02,17.79,8.176666666666666,0.88,23.75,10.33,4.6023,93.71999999999998,22.39,2.3950666666666667,9.764433333333335
CNFL,2020,9,23.100000000000005,0.9,82.57666666666667,90.54,28.399999999999995,18.9,6.079999999999999,0.93,23.55,14.76,5.086566666666667,93.71999999999998,22.22,2.440733333333333,9.726333333333333
CNFL,2020,10,22.8,1.14,85.54666666666667,92.08999999999999,28.790000000000003,19.25,6.93,0.9700000000000001,23.23,15.82,4.432066666666667,93.68,22.08,2.2013666666666665,9.712966666666667
CNFL,2020,11,22.42,1.26,81.10666666666667,92.62,27.570000000000004,19.55,6.13,0.98,22.91,25.58,4.079033333333333,93.71,21.76,1.9871999999999999,9.672266666666667
CNFL,2020,12,22.179999999999996,1.38,59.050000000000004,87.63,27.459999999999997,16.96,4.61,0.91,22.600000000000005,6.78,4.688933333333333,93.71999999999998,21.02,1.5903333333333334,9.499333333333334
CNFL,2021,1,22.26,1.54,52.82333333333333,84.0,28.2,17.13,3.86,0.82,22.73,1.04,5.1077,93.67,20.75,1.8329000000000002,9.397866666666667
CNFL,2021,2,22.84,1.59,48.50333333333333,81.23,28.790000000000003,17.71,3.766666666666667,0.65,23.59,0.45,5.8312,93.71999999999998,21.03,1.8675,9.5201
CNFL,2021,3,23.27,1.74,45.43666666666667,74.71,30.64,16.07,3.8000000000000003,0.52,24.399999999999995,2.33,6.377866666666667,93.74,20.67,1.9282000000000001,9.4619
CNFL,2021,4,23.7,1.24,79.23666666666666,82.25,31.11,17.56,5.866666666666667,0.57,24.38,8.97,5.3163,93.68,21.92,2.3676,9.8407
CNFL,2021,5,23.600000000000005,1.06,82.53333333333335,87.17,29.28,18.65,7.403333333333333,0.7200000000000001,24.08,7.89,4.6372,93.75,22.38,2.3498666666666668,9.8771
CNFL,2021,6,23.290000000000003,0.89,83.42333333333333,89.61,29.13,18.71,6.0566666666666675,0.79,23.709999999999997,11.79,4.915133333333333,93.79,22.31,2.4017999999999997,9.756333333333332
CNFL,2021,7,23.459999999999997,1.03,83.02666666666666,89.02,28.8,19.24,7.836666666666666,0.87,23.87,11.160000000000002,4.5224,93.77,22.44,2.295533333333333,9.7845
CNFL,2021,8,23.03,0.87,90.59333333333332,90.64,28.63,18.9,7.69,0.91,23.459999999999997,16.15,4.595066666666667,93.79,22.16,2.5263333333333335,9.761566666666667
CNFL,2021,9,23.02,0.87,85.04333333333334,90.19,28.06,19.28,6.116666666666667,0.9499999999999998,23.49,14.22,4.8592,93.78000000000002,22.11,2.3568333333333333,9.7366
CNFL,2021,10,23.179999999999996,0.87,81.11666666666666,90.94,28.290000000000003,19.36,5.6499999999999995,0.96,23.59,9.54,4.5028999999999995,93.71999999999998,22.350000000000005,2.204,9.747533333333333
CNFL,2021,11,22.62,1.1,74.06666666666666,87.87,27.8,18.03,5.256666666666667,0.89,23.14,3.3800000000000003,4.3259,93.73,21.48,1.8675333333333333,9.6558
CNFL,2021,12,22.81,1.32,58.42666666666667,85.64,27.73,17.98,4.9366666666666665,0.77,23.290000000000003,1.59,4.560866666666667,93.7,21.459999999999997,1.6581333333333335,9.563899999999999
CNFL,2022,1,22.17,1.61,44.876666666666665,80.55,28.05,17.16,3.66,0.62,22.89,0.33,5.426633333333332,93.8,20.28,1.6178000000000001,9.385299999999999
CNFL,2022,2,23.179999999999996,1.87,36.96333333333333,69.54,30.48,15.53,3.5933333333333337,0.48,24.52,0.38000000000000006,6.179033333333333,93.76,19.94,1.6932,9.304633333333333
CNFL,2022,3,24.320000000000004,1.5200000000000002,47.056666666666665,70.15,31.86,18.02,4.0,0.47,25.72,4.51,6.2863,93.74,21.09,1.9642333333333333,9.597266666666668
CNFL,2022,4,24.47,1.17,77.27,77.04,32.59,19.4,4.946666666666666,0.48,25.74,5.419999999999999,5.4014999999999995,93.67,22.040000000000003,2.3771333333333335,10.0772
CNFL,2022,5,23.55,0.9,86.66666666666667,89.11,29.290000000000003,18.94,7.343333333333334,0.66,24.06,10.48,4.5809999999999995,93.74,22.52,2.3295333333333335,10.141333333333334
CNFL,2022,6,22.39,1.1,90.51666666666667,91.62,27.09,17.65,8.423333333333334,0.82,22.77,13.47,4.428733333333333,93.77,21.63,2.3582666666666667,10.019933333333332
CNFL,2022,7,23.25,1.0,85.29666666666667,89.56,28.709999999999997,18.41,7.640000000000001,0.89,23.67,7.989999999999999,4.3611,93.73,22.28,2.3163,10.082099999999999
CNFL,2022,8,23.12,0.9700000000000001,83.63333333333334,88.75,29.02,18.84,7.626666666666668,0.87,23.59,6.71,4.764833333333333,93.74,22.06,2.343666666666667,10.046566666666665
CNFL,2022,9,22.820000000000004,1.05,86.02999999999999,91.64,28.61,19.17,7.113333333333333,0.9,23.23,10.99,4.830900000000001,93.76,22.06,2.3453666666666666,10.021033333333333
CNFL,2022,10,22.86,1.01,80.42333333333333,91.45,28.67,18.43,6.373333333333334,0.93,23.3,10.58,4.3184000000000005,93.71999999999998,22.08,2.1439666666666666,10.036
CNFL,2022,11,22.600000000000005,1.01,83.00333333333333,91.66000000000001,28.02,17.82,7.826666666666667,0.94,23.08,12.089999999999998,3.7093666666666665,93.7,21.84,1.8944,10.0453
CNFL,2022,12,22.36,1.45,47.050000000000004,84.96,27.97,17.38,4.256666666666667,0.86,22.820000000000004,1.25,4.821533333333334,93.71,20.95,1.5858333333333334,9.727
CNFL,2023,1,22.2,1.63,46.23666666666667,83.75,27.87,16.63,4.433333333333334,0.7200000000000001,22.75,1.29,5.0898666666666665,93.78000000000002,20.66,1.6258,9.709
CNFL,2023,2,22.84,2.19,24.53,75.49,30.070000000000004,16.13,4.949999999999999,0.56,23.820000000000004,0.62,6.0383,93.74,20.41,1.5197333333333336,9.554499999999999
CNFL,2023,3,23.459999999999997,1.37,53.68666666666667,77.12,31.100000000000005,18.08,5.2,0.5,24.570000000000004,3.7900000000000005,5.651266666666667,93.78000000000002,21.1,1.9585,9.849666666666666
CNFL,2023,4,24.95,1.3500000000000003,56.61333333333334,70.65,33.13,18.91,4.026666666666666,0.46,26.209999999999997,2.31,6.008866666666666,93.69,21.75,2.2551666666666663,9.968266666666667
CNFL,2023,5,25.33,1.25,66.27666666666667,77.35,33.23,20.25,4.846666666666667,0.5,26.16,7.29,5.6392999999999995,93.68,22.91,2.2317,10.1685
CNFL,2023,6,24.13,1.04,83.81666666666668,88.31,30.25,19.57,6.543333333333333,0.68,24.59,8.15,5.068266666666667,93.7,23.02,2.3938333333333333,10.200533333333333
CNFL,2023,7,24.24,1.19,84.79666666666667,87.15000000000002,30.37,19.68,7.413333333333334,0.73,24.63,7.27,4.698733333333333,93.71999999999998,23.01,2.4275333333333333,10.197133333333333
CNFL,2023,8,24.23,1.07,82.88333333333334,87.34999999999998,30.100000000000005,19.64,7.336666666666666,0.75,24.66,6.739999999999999,4.680233333333333,93.69,23.02,2.3451,10.1992
CNFL,2023,9,24.31,0.9700000000000001,79.13333333333334,86.18,29.83,18.78,6.223333333333334,0.7600000000000001,24.83,7.43,4.910233333333333,93.66000000000001,22.97,2.2114333333333334,10.174933333333334
CNFL,2023,10,23.5,1.06,88.38999999999999,92.81,28.290000000000003,20.16,6.63,0.86,23.850000000000005,14.12,4.4683,93.7,22.850000000000005,2.302,10.1793
CNFL,2023,11,23.42,1.0,75.18,91.28000000000002,28.7,18.67,5.63,0.9,23.78,7.09,4.2312,93.59999999999998,22.62,1.8960666666666668,10.1616
CNFL,2023,12,23.58,1.53,51.02666666666667,85.62,29.73,18.42,5.1066666666666665,0.7799999999999999,24.01,1.6900000000000002,4.779366666666667,93.65000000000002,22.22,1.5641666666666667,9.977733333333333
CNFL,2024,1,23.679999999999996,1.58,33.51666666666667,82.07,29.59,18.19,5.043333333333334,0.63,24.320000000000004,0.28,5.2935,93.73,21.95,1.4778666666666667,9.879833333333332
CNFL,2024,2,24.0,1.82,35.00333333333333,74.22,31.33,16.57,5.033333333333334,0.5,25.11,1.32,5.9299333333333335,93.77,21.33,1.6386666666666667,9.796466666666666
CNFL,2024,3,25.959999999999997,1.43,42.70666666666667,67.95,34.19,17.54,4.843333333333334,0.44,27.44,1.46,6.0796,93.71999999999998,22.350000000000005,2.0967000000000002,10.033266666666668
CNFL,2024,4,25.55,1.41,63.49666666666667,71.55,34.05,18.26,4.44,0.46,26.66,4.27,5.726933333333332,93.71999999999998,22.39,2.1975000000000002,10.098666666666666
CNFL,2024,5,25.290000000000003,0.96,74.36666666666667,83.51,32.98,20.24,5.753333333333333,0.55,26.0,25.11,5.0752999999999995,93.66000000000001,23.56,2.3669,10.319766666666666
CNFL,2024,6,23.77,1.14,89.82666666666667,92.51,29.44,20.22,7.346666666666667,0.9,24.14,22.88,4.647100000000001,93.75,23.09,2.461933333333333,10.206733333333332
CNFL,2024,7,23.87,1.08,89.96666666666665,91.16000000000001,28.61,19.1,8.496666666666668,0.98,24.23,15.42,4.308333333333333,93.7,23.06,2.3849,10.226466666666667
CNFL,2024,8,23.86,0.88,85.14333333333333,90.05,28.929999999999996,19.78,6.84,0.96,24.28,7.62,4.570333333333333,93.78000000000002,22.94,2.4190333333333336,10.171333333333333
CNFL,2024,9,23.69,0.9899999999999999,89.25666666666666,91.48,29.05,20.13,8.053333333333333,0.9700000000000001,24.13,13.75,4.2933666666666666,93.67,22.899999999999995,2.3863333333333334,10.195866666666667
CNFL,2024,10,23.42,1.05,82.71666666666667,91.75,28.320000000000004,19.2,5.953333333333333,0.98,23.850000000000005,11.54,4.564033333333334,93.73,22.679999999999996,2.1809333333333334,10.141433333333334
CNFL,2024,11,22.59,1.27,87.23666666666668,93.33999999999999,28.03,18.72,8.946666666666667,0.9899999999999999,23.070000000000004,29.179999999999996,3.434533333333333,93.7,21.99,1.8305333333333333,10.112
