"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2024","JASEC","Residencial","93305","22295114","1560864000","1820065379","70.01","81.64","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Residencial","789811","147053667","12648260000","14859431317","86.01","101.05","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Residencial","84175","21728962","1723757000","1901035597","79.33","87.49","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPESANTOS","Residencial","48546","6853643.47","602460300","646148530","87.9","94.28","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPELESCA","Residencial","103820","18737217.57","1527511000","1606282430","81.52","85.73","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEGUANACASTE","Residencial","79416","24041760.92","2014892000","2154349781","83.81","89.61","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEALFARORUIZ","Residencial","6269","1415834","96595530","110938722","68.23","78.36","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Residencial","532413","122495402","8947530000","10407485045","73.04","84.96","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Residencial","1737755","364621600.96","29121869830","33505736801","79.87","91.89","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Promocional","32","536028","41132195","47849455","76.74","89.27","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Preferencial","12099","27324623.41","1873295850","2170643975","68.56","79.44","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","JASEC","Preferencial","712","996499","60610520","68469489","60.82","68.71","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Preferencial","6790","12633059","998161600","1172640998","79.01","92.82","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Preferencial","917","3683878","234394710","256338274","63.63","69.58","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPESANTOS","Preferencial","505","134517.41","17563120","18836624","130.56","140.03","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Preferencial","3175","9876670","562565900","654358590","56.96","66.25","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Media tensión b","353","115911155.4","6861409000","7834509345","59.2","67.59","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Media tensión b","9","8368885","486155600","531647898","58.09","63.53","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Promocional","32","536028","41132195","47849455","76.74","89.27","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Residencial horaria","8537","4703586","308924000","359354760","65.68","76.4","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Residencial horaria","88","52160","5370479","6309261","102.96","120.96","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Residencial horaria","11","6779","520050.4","583380","76.71","86.06","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Ventas al servicio de Distribución","","57509112","2882584910.35","3789676620.59","50.12","65.9","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","JASEC","Ventas al servicio de Distribución","","34660937","1627486293.21","2139058963.51","46.95","61.71","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","ESPH","Ventas al servicio de Distribución","","12303779","677582539.67","890559301.06","55.07","72.38","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","COOPESANTOS","Ventas al servicio de Distribución","","3000","34456990.64","44931993.43","11485.66","14977.33","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","COOPELESCA","Ventas al servicio de Distribución","","3000","106423.73","140686.68","35.47","46.9","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","COOPEGUANACASTE","Ventas al servicio de Distribución","","10535396","527996092.99","693961481.92","50.12","65.87","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","COOPEALFARORUIZ","Ventas al servicio de Distribución","","3000","14956570.11","21024193.99","4985.52","7008.06","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL","","694735102.93","30278300752.42","39795324127.01","43.58","57.28","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","ICE","Ventas a ICE distribución y a la CNFL","","433685605.93","18628419269.6","24483630483.75","42.95","56.45","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","CNFL","Ventas a ICE distribución y a la CNFL","","261049497","11649881482.82","15311693643.26","44.63","58.65","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","Usuarios Directos","Usuarios Directos","16","39257429","1206448000","1535412451","30.73","39.11","IV Trimestre","Generacion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Residencial horaria","8636","4762525","314814529.4","366247401","66.1","76.9","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Media tensión b","191","62875805","3603834000","4233931572","57.32","67.34","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","JASEC","Media tensión b","20","12678520","849735300","880388368","67.02","69.44","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPELESCA","Media tensión b","13","6187229.4","420035100","441741467","67.89","71.4","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Media tensión b","120","25800716","1501649000","1746800040","58.2","67.7","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEALFARORUIZ","Comercios y servicios","1292","455309","37977470","43592763","83.41","95.74","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Comercios y servicios","75127","92419299.95","9148546000","10642531790","98.99","115.15","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Alumbrado Público","","21991743.16","1318732177.61","1318732177.61","59.96","59.96","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","JASEC","Alumbrado Público","","1271663.34","83048212.29","83048212.29","65.31","65.31","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Alumbrado Público","","12634589.4","784451237.59","784451237.59","62.09","62.09","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Alumbrado Público","","648174.19","41528520.16","41528520.16","64.07","64.07","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPESANTOS","Alumbrado Público","","387129","20730757.95","20730757.95","53.55","53.55","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPELESCA","Alumbrado Público","","874862.54","52281260.23","52281260.23","59.76","59.76","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEGUANACASTE","Comercios y servicios","18186","22084899.64","2082591200","2226856212","94.3","100.83","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEGUANACASTE","Alumbrado Público","","732254.44","47362217.18","47362217.18","64.68","64.68","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Alumbrado Público","","5409287.1","287307712.09","287307712.09","53.11","53.11","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEALFARORUIZ","Alumbrado Público","","33783.16","2022260.12","2022260.12","59.86","59.86","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPELESCA","Comercios y servicios","14401","17656652.22","1610359900","1693710040","91.2","95.92","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPESANTOS","Comercios y servicios","3922","2039685.31","308206200","330578548","151.1","162.07","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Comercios y servicios","11445","16515457","1375875650.4","1510940417","83.31","91.49","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Media tensión a","790","81239538.26","5782844840","6716439387","71.18","82.67","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","JASEC","Media tensión a","26","6080500","428638400","467371428","70.49","76.86","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Media tensión a","547","49680671","3456594000","4060824164","69.58","81.74","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Media tensión a","5","475145","36932530","39122010","77.73","82.34","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPESANTOS","Media tensión a","7","802231.98","77860450","83634775","97.05","104.25","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPELESCA","Media tensión a","3","950072.28","74784460","78701515","78.71","82.84","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Media tensión a","202","23250918","1708035000","1986785495","73.46","85.45","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Industrial","7931","28107521.69","2780847443","3154254781","98.94","112.22","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","JASEC","Industrial","319","3150348","263688220","293452543","83.7","93.15","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Industrial","2988","9309921","1026695700","1206169488","110.28","129.56","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ESPH","Industrial","341","3854523","296282020","321075058","76.87","83.3","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPESANTOS","Industrial","202","216303.81","34562880","37070607","159.79","171.38","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPELESCA","Industrial","1680","4336070.32","412990000","434573502","95.25","100.22","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEGUANACASTE","Industrial","222","582073.56","66973683","71613403","115.06","123.03","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","COOPEALFARORUIZ","Industrial","708","553104","47195340","54187805","85.33","97.97","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","CNFL","Industrial","1471","6105178","632459600","736112375","103.59","120.57","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","TOTAL NACIONAL","Comercios y servicios","251331","251190319.12","24914077099.4","28552385778","99.18","113.67","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","JASEC","Comercios y servicios","16122","14252680","1287901200","1457524216","90.36","102.26","IV Trimestre","Distribucion","2024 4"
"Diciembre ","2024","ICE","Comercios y servicios","110836","85766336","9062619479","10646651792","105.67","124.14","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL","","683747077.94","29840845005","39220398443.73","43.64","57.36","IV Trimestre","Generacion","2024 4"
"Noviembre ","2024","ICE","Ventas a ICE distribución y a la CNFL","","416561132.94","17914054860.04","23544740278.14","43","56.52","IV Trimestre","Generacion","2024 4"
"Noviembre ","2024","CNFL","Ventas a ICE distribución y a la CNFL","","267185945","11926790144.96","15675658165.59","44.64","58.67","IV Trimestre","Generacion","2024 4"
"Noviembre ","2024","Usuarios Directos","Usuarios Directos","16","45995395","1343676501","1715710000","29.21","37.3","IV Trimestre","Generacion","2024 4"
"Noviembre ","2024","ICE","Media tensión b","185","64708932","3641722551","4278447000","56.28","66.12","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","JASEC","Media tensión b","20","15594957","930895962","1043828000","59.69","66.93","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPELESCA","Media tensión b","13","5733359.76","381324754","401034700","66.51","69.95","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","CNFL","Media tensión b","118","27402333","1565424170","1820987000","57.13","66.45","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Media tensión a","798","83872487.24","5893309604","6836684060","70.27","81.51","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","JASEC","Media tensión a","27","6728423","464929693","494531300","69.1","73.5","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ICE","Media tensión a","553","51346586","3513852516","4128092000","68.43","80.4","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ESPH","Media tensión a","5","477310","31475877","35309230","65.94","73.98","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPESANTOS","Media tensión a","7","227552.8","36136476","38858290","158.8","170.77","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPELESCA","Media tensión a","3","956101.44","76032802","80003240","79.52","83.68","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","CNFL","Media tensión a","203","24136514","1770882240","2059890000","73.37","85.34","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Industrial","7950","28599752.49","2819030200","3211303788","98.57","112.28","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","JASEC","Industrial","320","3232811.96","266919801","297429340","82.57","92","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ICE","Industrial","3000","9703026","1064590169","1250688200","109.72","128.9","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ESPH","Industrial","340","3966429","292779973","328443340","73.81","82.81","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPESANTOS","Industrial","200","181088.44","29586376","31733660","163.38","175.24","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPELESCA","Industrial","1680","4240330.53","404275015","425409800","95.34","100.32","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPEGUANACASTE","Industrial","219","633020.56","72787438","77829828","114.98","122.95","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPEALFARORUIZ","Industrial","709","560664","47867273","54959620","85.38","98.03","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ESPH","Media tensión b","9","8637837","484112948","543082500","56.05","62.87","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Media tensión b","345","122077418.76","7003480385","8087379200","57.37","66.25","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPESANTOS","Preferencial","505","152213.68","20110342","21568710","132.12","141.7","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Residencial horaria","8500","4805543","317548832","369425816.3","66.08","76.87","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ESPH","Residencial horaria","10","5101","406631","456150.3","79.72","89.42","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ICE","Residencial horaria","76","46305","4757871","5589566","102.75","120.71","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","CNFL","Residencial horaria","8414","4754137","312384330","363380100","65.71","76.43","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Residencial","1734728","375999325.93","30154248039","34703631100","80.2","92.3","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","JASEC","Residencial","93178","21969383","1535607909","1790632000","69.9","81.51","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ICE","Residencial","788493","152487232","13164087343","15465330000","86.33","101.42","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","ESPH","Residencial","84096","21510480","1703193056","1878297000","79.18","87.32","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPESANTOS","Residencial","48451","7088739.56","627149901","672628600","88.47","94.89","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPELESCA","Residencial","103493","18469804.6","1501294659","1578714000","81.28","85.48","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPEGUANACASTE","Residencial","79171","25248633.77","2129141335","2276530000","84.33","90.16","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","COOPEALFARORUIZ","Residencial","6264","1469720","100452840","115369500","68.35","78.5","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","CNFL","Residencial","531582","127755333","9393320996","10926130000","73.53","85.52","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Promocional","32","578021","41461660","48232900","71.73","83.44","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","CNFL","Promocional","32","578021","41461660","48232900","71.73","83.44","IV Trimestre","Distribucion","2024 4"
"Noviembre ","2024","TOTAL NACIONAL","Preferencial","12091","28191858.68","1955624668","2273295970","69.37","80.64","IV Trimestre","Distribucion","2024 4"
