id_Objecto,operador,centralElectrica,fuente,provincia,canton,distrito,codigoDTA,coordenadaX,coordenadaY
1,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,PIRRÍS,HÍDRICA,SAN JOSÉ,ASERRÍ,LEGUA,10605,-84.19822021189816,9.631496798863663
2,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,RÍO MACHO,HÍDRICA,CARTAGO,PARAÍSO,OROSI,30203,-83.84169805562357,9.775583051683952
3,COOPERATIVA DE ELECTRIFICACION RURAL LOS SANTOS R.L.,LOS SANTOS,EÓLICA,SAN JOSÉ,DESAMPARADOS,SAN CRISTOBAL,10308,-83.99410555510742,9.779272221911235
4,JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,BARRO MORADO,HÍDRICA,CARTAGO,CARTAGO,AGUACALIENTE O SAN FRANCISCO,30105,-83.89211388860076,9.827261112154073
5,JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,TUIS,HÍDRICA,CARTAGO,TURRIALBA,TUIS,30507,-83.57200000035151,9.831891661319016
6,JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,BIRRIS I,HÍDRICA,CARTAGO,PARAÍSO,SANTIAGO,30202,-83.77743611120583,9.86600832835191
7,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,CACHÍ,HÍDRICA,CARTAGO,JIMÉNEZ,TUCURRIQUE,30402,-83.75359694465044,9.870326939563016
8,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,P.E VALLE CENTRAL,EÓLICA,SAN JOSÉ,MORA,QUITIRRISÍ,10707,-84.1988660294973,9.892129826628201
9,JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,BIRRIS III,HÍDRICA,CARTAGO,ALVARADO,CAPELLADES,30603,-83.78685277743337,9.89434721699132
10,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,OROTINA,COMBUSTIBLES FÓSILES,ALAJUELA,OROTINA,LA CEIBA,20905,-84.6721644066736,9.906468482097763
11,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ANGOSTURA,HÍDRICA,CARTAGO,TURRIALBA,PAVONES,30506,-83.63977916694157,9.924898612854395
12,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,VENTANAS,HÍDRICA,ALAJUELA,ALAJUELA,GUÁCIMA,20105,-84.30379423312942,9.925651188103407
13,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,ANONOS,HÍDRICA,SAN JOSÉ,SAN JOSÉ,MATA REDONDA,10108,-84.11835305543856,9.931704999522099
14,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,RÍO SEGUNDO,HÍDRICA,ALAJUELA,ALAJUELA,RÍO SEGUNDO,20109,-84.18045098516735,10.001486943933639
15,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,VENTANAS GARITA,HÍDRICA,ALAJUELA,ALAJUELA,TURRÚCARES,20111,-84.3593019447737,9.93429944510371
16,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,BRASIL,HÍDRICA,SAN JOSÉ,SANTA ANA,BRASIL,10906,-84.23480097641337,9.940495275733234
17,HIDROELÉCTRICA RÍO LAJAS S.A.,HIDROELÉCTRICA RÍO LAJAS,HÍDRICA,CARTAGO,TURRIALBA,SANTA TERESITA,30505,-83.63338429894152,9.942982537858468
18,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,BELÉN,HÍDRICA,SAN JOSÉ,SANTA ANA,POZOS,10903,-84.21226034874368,9.960589637343796
19,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,SAN ANTONIO GAS,COMBUSTIBLES FÓSILES,SAN JOSÉ,SAN JOSÉ,URUCA,10107,-84.1625029291001,9.965443225674495
20,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,ELECTRIONA,HÍDRICA,SAN JOSÉ,SAN JOSÉ,URUCA,10107,-84.17843194415703,9.969458054313325
21,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MOÍN GAS II,COMBUSTIBLES FÓSILES,LIMÓN,LIMÓN,RÍO BLANCO,70103,-83.09992805590885,9.992840830702246
22,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MOÍN GAS III,COMBUSTIBLES FÓSILES,LIMÓN,LIMÓN,RÍO BLANCO,70103,-83.09982972206068,9.993510552163402
23,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,BARRANCA,COMBUSTIBLES FÓSILES,PUNTARENAS,PUNTARENAS,BARRANCA,60108,-84.7150716668816,9.9944669458443
24,EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.,TACARES,HÍDRICA,ALAJUELA,GRECIA,TACARES,20305,-84.3393055554023,10.00083332943195
25,EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.,JORGE MANUEL DENGO,HÍDRICA,ALAJUELA,POÁS,CARRILLOS,20804,-84.26491666671815,10.030194438533158
26,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ECHANDI,HÍDRICA,ALAJUELA,SAN RAMÓN,PIEDADES SUR,20205,-84.5424450002034,10.054528610473138
27,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,REVENTAZON,HÍDRICA,LIMÓN,SIQUIRRES,SIQUIRRES,70301,-83.55337222190074,10.084228882071006
28,COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.,EL ENCANTO,HÍDRICA,PUNTARENAS,MONTES DE ORO,LA UNIÓN,60402,-84.75918694447049,10.15475499704585
29,SUERKATA S. R. L.,SUERKATA,HÍDRICA,HEREDIA,HEREDIA,VARABLANCA,40105,-84.15388888848301,10.20583333109807
30,CENTRAL HIDROELÉCTRICA VARA BLANCA S. A.,VARA BLANCA,HÍDRICA,HEREDIA,HEREDIA,VARABLANCA,40105,-84.15361111108277,10.208055554250347
