numeroExpediente,numeroResolucion,fechaPublicacion,alcanceGaceta,numeroGaceta,producto,tipoCambio,precioReferenciaInternacional,precioColonizado,otrosIngresosProrrateados,asigCruzPesc,asigCruzMinae,subCruzPesc,subCruzMinae,diferencialPrecios,impuestoUnico,canon,margenOperacion,rendTarif,precioPlantelSinImpuesto,precioConImpuesto,margenEstacionesTerrestres,margenEstacionesAereas,fleteEstaciones,margenEnvasador,margenDistribuidos,margenDetallista,rige,precioConsumidorFinalGas,precioFinal,precioFinalSinPuntoFijo
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Gasolina RON 95,473.31091,0.0,0.0,0.0,0.09513,13.59546,0.0,0.0,-5.8237,271.75,0.614,24.1548,9.5377,289.35808,561.10808,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,632.0,564.85385
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Gasolina RON 91,473.31091,0.0,0.0,0.0,0.09513,13.59546,0.0,0.0,-2.6637,259.5,0.614,24.5773,9.6274,296.96012,556.46012,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,628.0,560.20589
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Gasolina RON 91 (pescadores),473.31091,0.0,0.0,0.0,0.0,0.0,-14.8694,0.0,0.0,0.0,0.0,24.5773,0.0,260.06913,260.06913,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Diésel para uso automotriz de 50 ppm de azufre,473.31091,0.0,0.0,0.0,0.09513,13.59546,0.0,0.0,-13.6287,153.75,0.614,22.8611,7.02,340.03758,493.78758,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,565.0,497.53335
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Diésel uso automotriz 50 ppm azufre (pescadores),473.31091,0.0,0.0,0.0,0.0,0.0,-13.412,0.0,0.0,0.0,0.0,22.8611,0.0,318.74099,318.74099,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Diésel marino,473.31091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.75,0.614,22.8611,7.02,889.88197,1043.63197,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Keroseno,473.31091,0.0,0.0,0.0,0.09513,13.59546,0.0,0.0,0.0,74.0,0.614,21.5855,4.28,398.18649,472.18649,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,543.0,475.93226
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Bunker,473.31091,0.0,0.0,0.0,0.09513,0.0,0.0,-86.73381,8.8662,25.25,0.614,50.1301,11.57,175.66485,200.91485,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,204.66062
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Bunker Térmico ICE,473.31091,0.0,0.0,0.0,0.0,0.0,0.0,-15.12827,0.0,25.25,0.614,15.9175,2.89,234.96381,260.21381,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Bunker Térmico ICE 2,473.31091,0.0,0.0,0.0,0.09513,0.0,0.0,-25.9036,0.0,25.25,0.614,15.9175,2.89,221.56279,246.81279,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,IFO 380,473.31091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,48.4774,11.512,580.70547,580.70547,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Asfalto PG-64-22,473.31091,0.0,0.0,0.0,0.09513,0.0,0.0,0.0,-0.9503,52.75,0.614,47.1029,8.81,236.68618,289.43618,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,293.18195
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Diésel pesado o gasóleo,473.31091,0.0,0.0,0.0,0.09513,13.59546,0.0,0.0,0.0,50.75,0.614,33.6032,10.99,303.34636,354.09636,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,357.84213
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Emulsión asfáltica rápida (RR),473.31091,0.0,0.0,0.0,0.09513,0.0,0.0,0.0,0.0,40.0,0.614,35.0789,5.73,159.74708,199.74708,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,203.49285
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Emulsión asfáltica lenta (RL),473.31091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.614,51.8914,7.82,179.12475,219.12475,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,222.87052
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,LPG (70-30),473.31091,0.0,0.0,0.0,0.09513,0.0,0.0,-45.97632,-4.1808,24.0,0.614,22.7611,5.3555,107.28952,131.28952,56.681,0.0,0.0,59.86,60.8888,70.0155,True,0.0,248.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,LPG (rico en propano),473.31091,0.0,0.0,0.0,0.0,0.0,0.0,-29.33434,0.0,24.0,0.614,22.7611,5.3555,249.87242,273.87242,56.681,0.0,0.0,59.86,60.8888,70.0155,True,0.0,390.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Av-Gas,473.31091,0.0,0.0,0.0,0.09513,13.59546,0.0,0.0,-38.1742,259.5,0.614,50.4028,11.76,582.01558,841.51558,0.0,17.2654,0.0,0.0,0.0,0.0,True,0.0,859.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Jet fuel A,473.31091,0.0,0.0,0.0,0.09513,0.0,0.0,0.0,6.0296,155.75,0.614,36.6829,6.62,408.14723,563.89723,0.0,17.2654,0.0,0.0,0.0,0.0,True,0.0,581.0,0.0
ET-030-2026,RE-0010-IE-2026,2026-04-16,38,69,Nafta pesada,473.31091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.614,22.3335,5.6168,277.32406,314.82406,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,318.56983
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Gasolina RON 95,492.81455,0.0,0.0,0.0,0.09515,11.45777,0.0,0.0,1.0263,271.75,0.614,24.1548,9.5377,290.41274,562.16274,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,633.0,565.90851
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Gasolina RON 91,492.81455,0.0,0.0,0.0,0.09515,11.45777,0.0,0.0,4.3127,259.5,0.614,24.5773,9.6274,276.36681,535.86681,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,607.0,539.61258
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Gasolina RON 91 (pescadores),492.81455,0.0,0.0,0.0,0.0,0.0,-14.8694,0.0,0.0,0.0,0.0,24.5773,0.0,235.08319,235.08319,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Diésel para uso automotriz de 50 ppm de azufre,492.81455,0.0,0.0,0.0,0.09515,11.45777,0.0,0.0,-10.0823,153.75,0.614,22.8611,7.02,305.33465,459.08465,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,530.0,462.83042
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Diésel uso automotriz 50 ppm azufre (pescadores),492.81455,0.0,0.0,0.0,0.0,0.0,-13.412,0.0,0.0,0.0,0.0,22.8611,0.0,283.40803,283.40803,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Diésel marino,492.81455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.75,0.614,22.8611,7.02,889.88197,1043.63197,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Keroseno,492.81455,0.0,0.0,0.0,0.09515,11.45777,0.0,0.0,0.0,74.0,0.614,21.5855,4.28,332.60355,406.60355,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,478.0,410.34932
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Bunker,492.81455,0.0,0.0,0.0,0.09515,0.0,0.0,-67.51802,8.824,25.25,0.614,50.1301,11.57,197.01521,222.26521,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,226.01098
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Bunker Térmico ICE,492.81455,0.0,0.0,0.0,0.0,0.0,0.0,-2.27354,0.0,25.25,0.614,15.9175,2.89,237.3373,262.5873,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Bunker Térmico ICE 2,492.81455,0.0,0.0,0.0,0.09515,0.0,0.0,-15.85273,4.4621,25.25,0.614,15.9175,2.89,261.38685,286.63685,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,IFO 380,492.81455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,48.4774,11.512,580.70547,580.70547,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Asfalto PG-64-22,492.81455,0.0,0.0,0.0,0.09515,0.0,0.0,0.0,0.4715,52.75,0.614,47.1029,8.81,246.96272,299.71272,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,303.45849
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Diésel pesado o gasóleo,492.81455,0.0,0.0,0.0,0.09515,11.45777,0.0,0.0,0.0,50.75,0.614,33.6032,10.99,286.69507,337.44507,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,341.19084
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Emulsión asfáltica rápida (RR),492.81455,0.0,0.0,0.0,0.09515,0.0,0.0,0.0,0.0,40.0,0.614,35.0789,5.73,165.50702,205.50702,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,209.25279
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Emulsión asfáltica lenta (RL),492.81455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.614,51.8914,7.82,185.05047,225.05047,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,228.79624
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,LPG (70-30),492.81455,0.0,0.0,0.0,0.09515,0.0,0.0,-51.06809,-1.4585,24.0,0.614,22.7611,5.3555,101.34504,125.34504,56.681,0.0,0.0,59.86,60.8888,70.0155,True,0.0,242.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,LPG (rico en propano),492.81455,0.0,0.0,0.0,0.0,0.0,0.0,-29.33434,0.0,24.0,0.614,22.7611,5.3555,249.87242,273.87242,56.681,0.0,0.0,59.86,60.8888,70.0155,True,0.0,390.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Av-Gas,492.81455,0.0,0.0,0.0,0.09515,11.45777,0.0,0.0,-41.8378,259.5,0.614,50.4028,11.76,582.65697,842.15697,0.0,17.2654,0.0,0.0,0.0,0.0,True,0.0,859.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Jet fuel A,492.81455,0.0,0.0,0.0,0.09515,0.0,0.0,0.0,3.3766,155.75,0.614,36.6829,6.62,343.00869,498.75869,0.0,17.2654,0.0,0.0,0.0,0.0,True,0.0,516.0,0.0
ET-020-2026,RE-0008-IE-2026,2026-03-13,27,50,Nafta pesada,492.81455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.614,22.3335,5.6168,263.45331,300.95331,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,304.69908
ET-013-2026,RE-0005-IE-2026,2026-02-11,14,28,Gasolina RON 95,498.58375,0.0,0.0,0.0,0.10464,11.35548,0.0,0.0,1.0263,271.75,0.614,24.1548,9.5377,285.29548,557.04548,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,628.0,560.79125
ET-013-2026,RE-0005-IE-2026,2026-02-11,14,28,Gasolina RON 91,498.58375,0.0,0.0,0.0,0.10464,11.35548,0.0,0.0,4.3127,259.5,0.614,24.5773,9.6274,262.14828,521.64828,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,593.0,525.39405
ET-013-2026,RE-0005-IE-2026,2026-02-11,14,28,Gasolina RON 91 (pescadores),498.58375,0.0,0.0,0.0,0.0,0.0,-14.8694,0.0,0.0,0.0,0.0,24.5773,0.0,220.95746,220.95746,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
ET-013-2026,RE-0005-IE-2026,2026-02-11,14,28,Diésel para uso automotriz de 50 ppm de azufre,498.58375,0.0,0.0,0.0,0.10464,11.35548,0.0,0.0,-10.0823,153.75,0.614,22.8611,7.02,288.06304,441.81304,56.681,0.0,12.773,0.0,0.0,0.0,True,0.0,513.0,445.55881
ET-013-2026,RE-0005-IE-2026,2026-02-11,14,28,Diésel uso automotriz 50 ppm azufre (pescadores),498.58375,0.0,0.0,0.0,0.0,0.0,-13.412,0.0,0.0,0.0,0.0,22.8611,0.0,266.22922,266.22922,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0
