Mes,Año,Empresa,Tarifa,Abonados,Ventas,Ingreso sin CVG,Ingreso con CVG,Precio Medio sin CVG,Precio Medio con CVG,Trimestre,Sistema,Trimestral
12,2018,CNFL,ALUMBRADO PÚBLICO,,7592392.96,480645765.33,480645765.33,63.31,63.31,IV Trimestre,Distribucion,2018 4
12,2018,COOPEALFARORUIZ,ALUMBRADO PÚBLICO,,50422.22,2877595.85,2877595.85,57.07,57.07,IV Trimestre,Distribucion,2018 4
12,2018,COOPEGUANACASTE,ALUMBRADO PÚBLICO,,687277.72,42164488.12,42164488.12,61.35,61.35,IV Trimestre,Distribucion,2018 4
12,2018,COOPELESCA,ALUMBRADO PÚBLICO,,734192.65,45454342.46,45454342.46,61.91,61.91,IV Trimestre,Distribucion,2018 4
12,2018,COOPESANTOS,ALUMBRADO PÚBLICO,,273732.94,15720379.93,15720379.93,57.43,57.43,IV Trimestre,Distribucion,2018 4
12,2018,ESPH,ALUMBRADO PÚBLICO,,818306.05,50145794.68,50145794.68,61.28,61.28,IV Trimestre,Distribucion,2018 4
12,2018,ICE,ALUMBRADO PÚBLICO,,10816007.88,667115612.46,667115612.46,61.68,61.68,IV Trimestre,Distribucion,2018 4
12,2018,JASEC,ALUMBRADO PÚBLICO,,1142774.41,72439361.58,72439361.58,63.39,63.39,IV Trimestre,Distribucion,2018 4
12,2018,CNFL,COMERCIOS Y SERVICIOS,70376.0,96883001.31,11115918113.0,11051163350.0,114.74,114.07,IV Trimestre,Distribucion,2018 4
12,2018,COOPEALFARORUIZ,COMERCIOS Y SERVICIOS,581.0,353475.0,35702594.0,35565848.0,101.0,100.62,IV Trimestre,Distribucion,2018 4
12,2018,COOPEGUANACASTE,COMERCIOS Y SERVICIOS,12297.0,16859565.26,1487735813.0,1483378087.0,88.24,87.98,IV Trimestre,Distribucion,2018 4
12,2018,COOPELESCA,COMERCIOS Y SERVICIOS,11837.0,13872551.32,1273251272.0,1272423883.0,91.78,91.72,IV Trimestre,Distribucion,2018 4
12,2018,COOPESANTOS,COMERCIOS Y SERVICIOS,3786.0,1595534.0,252635545.0,252061093.0,158.34,157.98,IV Trimestre,Distribucion,2018 4
12,2018,ESPH,COMERCIOS Y SERVICIOS,10786.0,15434607.0,1293358544.0,1288346413.0,83.8,83.47,IV Trimestre,Distribucion,2018 4
12,2018,ICE,COMERCIOS Y SERVICIOS,89228.0,70262962.0,7898456585.0,7847090871.0,112.41,111.68,IV Trimestre,Distribucion,2018 4
12,2018,JASEC,COMERCIOS Y SERVICIOS,12690.0,11679429.0,1143943333.0,1138917679.0,97.95,97.51,IV Trimestre,Distribucion,2018 4
12,2018,CNFL,INDUSTRIAL,1474.0,6296987.0,761049938.0,756615935.0,120.86,120.16,IV Trimestre,Distribucion,2018 4
12,2018,COOPEALFARORUIZ,INDUSTRIAL,721.0,509560.0,51542869.0,51367148.0,101.15,100.81,IV Trimestre,Distribucion,2018 4
12,2018,COOPEGUANACASTE,INDUSTRIAL,234.0,807614.3,84732490.0,84484355.0,104.92,104.61,IV Trimestre,Distribucion,2018 4
12,2018,COOPELESCA,INDUSTRIAL,1757.0,3905576.42,369488826.0,369248202.0,94.61,94.54,IV Trimestre,Distribucion,2018 4
12,2018,COOPESANTOS,INDUSTRIAL,229.0,182699.0,32926237.0,32851131.0,180.22,179.81,IV Trimestre,Distribucion,2018 4
12,2018,ESPH,INDUSTRIAL,367.0,8385220.0,615011310.0,612516181.0,73.34,73.05,IV Trimestre,Distribucion,2018 4
12,2018,ICE,INDUSTRIAL,3549.0,10289199.0,1246865427.0,1238751573.0,121.18,120.39,IV Trimestre,Distribucion,2018 4
12,2018,JASEC,INDUSTRIAL,380.0,4093193.0,366706344.0,365092917.0,89.59,89.2,IV Trimestre,Distribucion,2018 4
12,2018,CNFL,MEDIA TENSIÓN A,289.0,50123745.0,4447115817.0,4421358100.0,88.72,88.21,IV Trimestre,Distribucion,2018 4
12,2018,COOPELESCA,MEDIA TENSIÓN A,9.0,5673720.0,469730493.0,469459382.0,82.79,82.74,IV Trimestre,Distribucion,2018 4
12,2018,COOPESANTOS,MEDIA TENSIÓN A,7.0,1493873.14,141300601.0,141009380.0,94.59,94.39,IV Trimestre,Distribucion,2018 4
12,2018,ESPH,MEDIA TENSIÓN A,9.0,2162547.91,177950050.0,177270949.0,82.29,81.97,IV Trimestre,Distribucion,2018 4
12,2018,ICE,MEDIA TENSIÓN A,663.0,93086522.0,7420578994.0,7372289058.0,79.72,79.2,IV Trimestre,Distribucion,2018 4
12,2018,JASEC,MEDIA TENSIÓN A,32.0,11252544.0,822427093.0,818808416.0,73.09,72.77,IV Trimestre,Distribucion,2018 4
12,2018,ICE,MEDIA TENSIÓN B,1.0,5747801.0,379985516.0,377944535.0,66.11,65.75,IV Trimestre,Distribucion,2018 4
12,2018,CNFL,PREFERENCIAL,2616.0,8979777.0,606876585.0,603389065.0,67.58,67.19,IV Trimestre,Distribucion,2018 4
12,2018,COOPESANTOS,PREFERENCIAL,439.0,110211.0,14880633.0,14846683.0,135.02,134.71,IV Trimestre,Distribucion,2018 4
12,2018,ESPH,PREFERENCIAL,713.0,2579566.0,165997422.0,165355754.0,64.35,64.1,IV Trimestre,Distribucion,2018 4
12,2018,ICE,PREFERENCIAL,6847.0,12215287.0,796807598.0,791651595.0,65.23,64.81,IV Trimestre,Distribucion,2018 4
12,2018,JASEC,PREFERENCIAL,641.0,920719.0,61219580.0,60950828.0,66.49,66.2,IV Trimestre,Distribucion,2018 4
12,2018,CNFL,PROMOCIONAL,40.0,1069378.0,98965410.0,98384780.0,92.54,92.0,IV Trimestre,Distribucion,2018 4
